,date,latitude,longitude,injuries,contrib_factor
0,2017-03-28 00:00:00,40.8946,-73.861206,0,Driver Inattention/Distraction
1,2017-03-28 00:00:00,40.65408,-73.97761,0,Unspecified
2,2017-03-28 00:00:00,40.583847,-73.94059,0,Driver Inattention/Distraction
3,2017-03-28 00:00:00,40.76277,-73.97559,0,Unspecified
4,2017-03-28 00:00:00,40.713715,-73.73144,0,Failure to Yield Right-of-Way
5,2017-03-28 00:00:00,40.803585,-73.91552,0,Driver Inattention/Distraction
6,2017-03-28 00:00:00,40.835194,-73.874054,0,Following Too Closely
7,2017-03-28 00:01:00,40.6224,-73.936646,0,Driver Inattention/Distraction
8,2017-03-28 00:01:00,40.660824,-73.95065,0,Driver Inattention/Distraction
9,2017-03-28 00:25:00,40.757366,-73.95574,1,Unsafe Speed
10,2017-03-28 00:37:00,40.723648,-73.99103,0,Lane Marking Improper/Inadequate
11,2017-03-28 10:00:00,40.847687,-73.86818,0,Unspecified
12,2017-03-28 10:00:00,40.6541,-73.96071,0,Unspecified
13,2017-03-28 10:00:00,40.58655,-73.96617,0,Driver Inattention/Distraction
14,2017-03-28 10:00:00,40.648853,-74.01352,0,Unspecified
15,2017-03-28 10:00:00,40.838238,-73.876686,0,Passing or Lane Usage Improper
16,2017-03-28 10:02:00,40.62713,-73.97528,1,Failure to Yield Right-of-Way
17,2017-03-28 10:05:00,40.669754,-73.97527,0,Unspecified
18,2017-03-28 10:10:00,40.722878,-74.008095,0,Driver Inattention/Distraction
19,2017-03-28 10:10:00,40.699192,-73.95519,0,Turning Improperly
20,2017-03-28 10:15:00,40.87793,-73.8703,1,Driver Inattention/Distraction
21,2017-03-28 10:16:00,40.81446,-73.89686,0,Unspecified
22,2017-03-28 10:16:00,40.863693,-73.853905,0,Unspecified
23,2017-03-28 10:20:00,40.68923,-73.998955,0,Unspecified
24,2017-03-28 10:20:00,40.750988,-73.99063,0,Unspecified
25,2017-03-28 10:22:00,40.624714,-74.1422,0,Unspecified
26,2017-03-28 10:28:00,40.737156,-73.87941,0,Failure to Yield Right-of-Way
27,2017-03-28 10:30:00,40.825558,-73.893875,0,Unspecified
28,2017-03-28 10:30:00,40.73991,-73.852455,0,Backing Unsafely
29,2017-03-28 10:30:00,40.859444,-73.915985,0,Failure to Yield Right-of-Way
30,2017-03-28 10:30:00,40.82866,-73.87824,1,Turning Improperly
31,2017-03-28 10:30:00,40.686928,-73.98484,2,Following Too Closely
32,2017-03-28 10:40:00,40.74389,-73.8849,0,Driver Inattention/Distraction
33,2017-03-28 10:40:00,40.694427,-73.924255,2,View Obstructed/Limited
34,2017-03-28 10:45:00,40.696663,-73.98085,0,Following Too Closely
35,2017-03-28 10:50:00,40.766556,-73.96294,0,Other Vehicular
36,2017-03-28 10:52:00,40.552334,-74.182434,0,View Obstructed/Limited
37,2017-03-28 10:55:00,40.59702,-74.06957,0,Unspecified
38,2017-03-28 11:00:00,40.866047,-73.87207,0,Driver Inattention/Distraction
39,2017-03-28 11:00:00,40.771107,-73.961716,0,Unspecified
40,2017-03-28 11:00:00,40.866554,-73.92754,0,Driver Inattention/Distraction
41,2017-03-28 11:00:00,40.781483,-73.95626,0,View Obstructed/Limited
42,2017-03-28 11:00:00,40.733967,-73.87177,0,Unspecified
43,2017-03-28 11:00:00,40.657776,-73.77031,0,Unspecified
44,2017-03-28 11:00:00,40.848392,-73.937675,0,Unspecified
45,2017-03-28 11:06:00,40.547806,-74.15965,0,Unsafe Speed
46,2017-03-28 11:10:00,40.818497,-73.8681,0,Traffic Control Disregarded
47,2017-03-28 11:10:00,40.74147,-73.985435,1,Unspecified
48,2017-03-28 11:10:00,40.67581,-73.739555,1,Unspecified
49,2017-03-28 11:15:00,40.704338,-74.00925,0,Unspecified
50,2017-03-28 11:15:00,40.610653,-73.95355,0,Passing or Lane Usage Improper
51,2017-03-28 11:20:00,40.822105,-73.90062,0,Following Too Closely
52,2017-03-28 11:20:00,40.883026,-73.82927,0,Other Vehicular
53,2017-03-28 11:20:00,40.725887,-74.00816,0,Driver Inattention/Distraction
54,2017-03-28 11:25:00,,,1,Failure to Yield Right-of-Way
55,2017-03-28 11:30:00,40.80682,-73.91749,0,Unspecified
56,2017-03-28 11:30:00,40.681377,-73.94697,0,Unspecified
57,2017-03-28 11:30:00,40.67824,-73.734116,0,Driver Inattention/Distraction
58,2017-03-28 11:30:00,40.70334,-73.76666,0,Steering Failure
59,2017-03-28 11:37:00,40.721447,-73.997406,0,Unsafe Lane Changing
60,2017-03-28 11:40:00,40.757847,-73.91661,0,Failure to Yield Right-of-Way
61,2017-03-28 11:40:00,40.814785,-73.80818,0,Other Vehicular
62,2017-03-28 11:45:00,40.63066,-74.03107,0,Failure to Yield Right-of-Way
63,2017-03-28 11:45:00,40.696865,-73.83717,0,Driver Inattention/Distraction
64,2017-03-28 11:45:00,40.826275,-73.85971,1,Failure to Yield Right-of-Way
65,2017-03-28 12:00:00,40.68993,-73.98148,0,Oversized Vehicle
66,2017-03-28 12:00:00,40.675037,-73.930534,0,Backing Unsafely
67,2017-03-28 12:00:00,40.65217,-73.96141,0,Unspecified
68,2017-03-28 12:00:00,40.737495,-73.99252,0,Unsafe Lane Changing
69,2017-03-28 12:00:00,40.755234,-73.941246,0,Unspecified
70,2017-03-28 12:00:00,40.677654,-73.82866,0,Unspecified
71,2017-03-28 12:00:00,40.657776,-73.77031,0,Aggressive Driving/Road Rage
72,2017-03-28 12:00:00,40.701164,-73.75023,0,Driver Inattention/Distraction
73,2017-03-28 12:00:00,40.83472,-73.91121,0,Unspecified
74,2017-03-28 12:00:00,40.65777,-73.93962,0,Unspecified
75,2017-03-28 12:00:00,40.75747,-73.95583,0,Driver Inattention/Distraction
76,2017-03-28 12:00:00,40.69634,-73.94649,1,Driver Inattention/Distraction
77,2017-03-28 12:10:00,40.78108,-73.985374,0,Unspecified
78,2017-03-28 12:10:00,40.890648,-73.84875,1,Turning Improperly
79,2017-03-28 12:15:00,40.761272,-73.98416,0,
80,2017-03-28 12:16:00,40.5901,-73.949646,0,Failure to Yield Right-of-Way
81,2017-03-28 12:20:00,40.822105,-73.90062,0,Unspecified
82,2017-03-28 12:20:00,40.857418,-73.899956,1,Driver Inattention/Distraction
83,2017-03-28 12:26:00,40.635937,-73.987595,0,Failure to Yield Right-of-Way
84,2017-03-28 12:30:00,40.662556,-73.91963,0,Unsafe Lane Changing
85,2017-03-28 12:30:00,40.75843,-73.973076,0,Unspecified
86,2017-03-28 12:30:00,40.66561,-73.73568,2,Unsafe Speed
87,2017-03-28 12:30:00,40.756992,-73.72966,2,Turning Improperly
88,2017-03-28 12:35:00,40.685062,-74.00269,0,Driver Inattention/Distraction
89,2017-03-28 12:37:00,,,0,View Obstructed/Limited
